,open,high,low,close,volume
2024-05-31,171.86,173.06,169.44,172.5,37638876.0
2024-05-30,175.2,175.22,171.79,172.11,22958677.0
2024-05-29,175.43,176.836,174.72,175.9,23388693.0
2024-05-28,174.45,177.27,174.365,176.4,20572157.0
2024-05-24,174.98,175.77,173.65,174.99,16579438.0
2024-05-23,177.07,178.25,172.95,173.55,21024935.0
2024-05-22,176.644,177.15,175.21,176.38,17880042.0
2024-05-21,176.9,178.15,175.81,177.85,16989369.0
2024-05-20,176.192,178.77,176.08,176.92,22554400.0
2024-05-17,174.18,176.265,173.69,176.06,24479262.0
2024-05-16,173.29,175.115,172.69,174.18,27867947.0
2024-05-15,170.63,172.65,170.51,172.51,26948370.0
2024-05-14,169.77,171.25,168.8,170.34,25127138.0
2024-05-13,164.26,169.28,164.0,169.14,31327602.0
2024-05-10,168.025,169.85,166.19,168.65,29799931.0
2024-05-09,169.39,170.69,168.18,169.96,15346700.0
2024-05-08,169.0,170.15,168.735,169.38,19569146.0
2024-05-07,168.5,171.76,168.39,171.25,28039696.0
2024-05-06,167.46,168.14,166.03,168.1,21871283.0
2024-05-03,167.56,167.96,163.05,167.24,34662432.0
2024-05-02,164.785,166.73,163.89,166.62,24294549.0
2024-05-01,164.3,167.12,163.09,163.86,33493151.0
2024-04-30,165.612,168.1,162.6,162.78,33562861.0
2024-04-29,169.058,169.55,165.21,166.15,45610024.0
2024-04-26,174.37,174.71,169.65,171.95,64665299.0
2024-04-25,151.33,156.49,150.87,156.0,57109730.0
2024-04-24,157.49,159.565,157.165,159.13,22779112.0
2024-04-23,156.96,158.97,156.28,158.26,21151568.0
2024-04-22,154.31,157.64,154.06,156.28,26446206.0
2024-04-19,156.2,156.36,152.3,154.09,32615639.0
2024-04-18,155.34,156.94,154.62,156.01,19883044.0
2024-04-17,155.62,157.08,154.58,155.47,21763130.0
2024-04-16,154.19,155.65,153.43,154.4,20779495.0
2024-04-15,158.86,159.24,154.59,154.86,27136472.0
2024-04-12,157.96,160.2225,157.14,157.73,25353746.0
2024-04-11,156.91,159.68,156.46,159.41,27166431.0
2024-04-10,156.21,156.61,154.68,156.14,22838629.0
2024-04-09,156.085,158.56,155.19,156.6,30739691.0
2024-04-08,152.78,155.27,152.61,154.85,20577435.0
2024-04-05,150.03,153.42,149.6,152.5,23328522.0
2024-04-04,153.5,154.77,150.45,150.53,34468227.0
2024-04-03,153.6,155.08,152.73,154.92,23884801.0
2024-04-02,153.5,154.7,152.15,154.56,24491676.0
2024-04-01,150.69,155.74,150.61,155.49,31308247.0
2024-03-28,150.85,151.43,150.17,150.93,24485390.0
2024-03-27,151.18,151.635,148.9,150.87,22879178.0
2024-03-26,150.22,152.256,149.98,150.67,22149137.0
2024-03-25,149.94,150.375,147.82,150.07,19229285.0
2024-03-22,149.12,151.58,148.98,150.77,29211769.0
2024-03-21,149.47,150.37,146.9001,147.6,24755597.0
2024-03-20,148.0,148.86,146.735,148.74,21311501.0
2024-03-19,148.16,148.7913,146.08,147.03,24070435.0
2024-03-18,148.61,152.15,147.17,147.68,69273699.0
